IndexId,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,TS1,TS2
113,950.47,525.91,25.29,265.41,0,0,0,20:04:04,1.54319E+12
114,838.64,520.31,22.62,224.93,0,0,0,20:04:04,1.54319E+12
115,853.62,520.91,22.64,211.45,0,0,0,20:04:04,1.54319E+12
116,950.43,521.39,27.32,257.75,0,0,0,20:04:04,1.54319E+12
117,874.7,521.95,20.84,240.23,0,0,0,20:04:04,1.54319E+12
118,824.92,523.95,20.18,208.29,0,0,0,20:04:04,1.54319E+12
119,939.59,522.54,25.01,248.4,0,0,0,20:04:04,1.54319E+12
120,919.06,520.55,24.95,254.24,0,0,0,20:04:04,1.54319E+12
121,817.78,520.67,22.33,211.27,0,0,0,20:04:04,1.54319E+12
122,901.12,521.18,25.51,231.69,0,0,0,20:04:04,1.54319E+12
123,943.65,526.2,27.37,260.35,0,0,0,20:04:04,1.54319E+12
124,836.13,525.98,18.29,222.27,0,0,0,20:04:04,1.54319E+12
125,856.51,522.65,21.5,216.23,0,0,0,20:04:04,1.54319E+12
126,952.58,523.88,26.38,262.48,0,0,0,20:04:04,1.54319E+12
127,876.63,527.4,24.71,246.15,0,0,0,20:04:04,1.54319E+12
128,821.82,528.13,22.31,207.39,0,0,0,20:04:04,1.54319E+12
129,937,523.21,25.64,247.59,0,0,0,20:04:04,1.54319E+12
130,914.06,520.78,23.32,255.88,0,0,0,20:04:04,1.54319E+12
131,816.39,523.69,20.78,204.54,0,0,0,20:04:04,1.54319E+12
132,898.94,521.78,25.23,228.95,0,0,0,20:04:04,1.54319E+12
133,943.77,522.63,26.5,261.55,0,0,0,20:04:04,1.54319E+12
134,840.21,526.51,21.99,224.84,0,0,0,20:04:04,1.54319E+12
135,854.97,521.21,23.86,208.04,0,0,0,20:04:04,1.54319E+12
136,948.77,519.12,27.56,252.41,0,0,0,20:04:04,1.54319E+12
137,873.51,518.45,24.99,234.46,0,0,0,20:04:04,1.54319E+12
138,816.69,514.48,18.77,196.74,0,0,0,20:04:04,1.54319E+12
139,927.55,511.73,24.14,240.94,0,0,0,20:04:04,1.54319E+12
140,907.87,514.2,22.68,251.29,0,0,0,20:04:04,1.54319E+12
141,810.37,516.55,19.43,202.13,0,0,0,20:04:04,1.54319E+12
142,893.82,513.03,25.02,224.12,0,0,0,20:04:04,1.54319E+12
143,939.41,516.06,24.2,255.78,0,0,0,20:04:04,1.54319E+12
144,831.48,513.89,23.15,216.41,0,0,0,20:04:04,1.54319E+12
145,852.27,514.97,23.69,207.53,0,0,0,20:04:04,1.54319E+12
146,946.22,514.6,23.11,252.19,0,0,0,20:04:04,1.54319E+12
147,869.9,515.98,19.78,233.96,0,0,0,20:04:04,1.54319E+12
148,823.32,513.23,20.34,201.92,0,0,0,20:04:04,1.54319E+12
149,933.77,514.64,23.2,243.84,0,0,0,20:04:04,1.54319E+12
150,914.23,514.97,28.49,244.63,0,0,0,20:04:04,1.54319E+12
151,812.58,511.03,18.19,195.26,0,0,0,20:04:04,1.54319E+12
152,898.03,511.67,24.55,221.28,0,0,0,20:04:04,1.54319E+12
153,939.26,512.56,24.62,250.58,0,0,0,20:04:04,1.54319E+12
154,829.06,511.31,23.81,211.32,0,0,0,20:04:04,1.54319E+12
155,852.77,514.08,26.38,206.26,0,0,0,20:04:04,1.54319E+12
156,955.03,516.75,24.79,255.01,0,0,0,20:04:04,1.54319E+12
157,884.56,524.83,23.76,239.37,0,0,0,20:04:04,1.54319E+12
158,834.12,526.22,20.64,206.59,0,0,0,20:04:04,1.54319E+12
159,944.28,526.32,25.73,249.8,0,0,0,20:04:04,1.54319E+12
160,924.55,524.68,27.64,259.18,0,0,0,20:04:04,1.54319E+12
