"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-09","0.45",,,"65","46","  270","  270","8.9","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-10","1.12",,,"71","46","  270","  270","8.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-11","1.12",,,"77","48","  270","  270","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-12","1.12",,,"76","49","  270","  270","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-13","0.45",,,"85","50","  270","  270","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-14","0.89",,,"77","52","  280","  270","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-15","0.67",,,"77","53","  270","  280","6.0","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-16","1.12",,,"68","53","  280","  280","10.1","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-17","1.12",,,"66","53","  280",,"6.9",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-18","2.24",,,"66","54","  260","  260","8.9","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-19","0.89",,,"67","52","  270","  260","8.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-20","1.12",,,"69","54","  270","  280","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-21","2.24",,,"72","55","   60","  280","8.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-22","2.46",,,"72","55","  270","  290","10.1","17.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-23","1.79",,,"72","55","  280","  280","8.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-24","1.57",,,"77","54","  270","  270","8.1","15.0"
